trial,lstm_units,dropout,dense_units,learning_rate,batch_size,rmse,mae,r2
1,50,0.1,75,0.001,16,13.378510523306332,11.054900004601603,0.921667070442705
2,150,0.1,100,0.0005,16,8.999181655494102,6.527133322511041,0.9645566407505273
3,150,0.2,100,0.001,32,10.527350644114048,7.994118096316671,0.9514971769432683
4,80,0.4,75,0.002,16,10.664176775586856,8.502510430301045,0.9502281812493878
5,50,0.3,75,0.002,16,15.48342259817605,12.188746107810458,0.8950789146265259
6,50,0.3,75,0.001,64,20.3085395095845,17.52717502454189,0.8194962519633159
7,50,0.2,25,0.005,32,9.784471443165927,7.527690627812088,0.9581010075205483
8,100,0.2,75,0.0005,64,9.675880787158222,7.350664228669009,0.9590258589948468
9,120,0.4,75,0.001,64,10.863822995631473,7.964065791424654,0.9483471603889045
10,50,0.3,100,0.002,16,15.346377725679217,12.94621188977626,0.896928022904555
11,80,0.4,100,0.005,16,19.386893156495614,15.892076102850949,0.8355078134949414
12,100,0.4,100,0.002,16,10.007257067739147,7.695399898509078,0.9561712633888222
13,50,0.2,50,0.005,64,12.155880648771443,10.420694401126884,0.9353301736980286
14,100,0.1,25,0.002,64,8.426314602197879,6.051604745275684,0.968925497861075
15,50,0.3,50,0.0005,64,20.84414261146861,16.861503720907642,0.8098497452954001
16,80,0.3,50,0.0005,64,12.616245605695443,8.933363350274048,0.9303390954090124
17,100,0.2,25,0.001,64,9.206155560142859,6.584425361992799,0.9629075552986449
18,150,0.2,50,0.005,64,8.131482344635943,5.901218114723082,0.9710620150444088
19,80,0.2,75,0.005,64,12.217913939715551,9.78566338504172,0.9346684498170846
20,50,0.2,50,0.0005,32,11.502405736230893,9.041358188808898,0.9420963146961012
